ID,Name,reference_area_ha,abbr,name_en
9,中路港,2089.89347651606,ZLG,Zhonglu Harbor
10,斗龙港,2068.774918664299,DLG,Doulong Harbor
16,弶港区间,1682.175472342099,JG,Jiangang Interval
13,川东港,1536.8397977181903,CDG,Chuandong Harbor
8,新洋港,844.2332621392691,XYG,Xinyang Harbor
14,串水港,796.1479944522049,CSG,Chuanshui Harbor
17,小洋口,752.2224459420539,XYK,Xiaoyangkou
12,王港,623.4923589317457,WG,Wanggang Harbor
11,四寅酉河闸口,519.838918342336,SYY,Siyinyou Sluice
20,东凌港,517.8186483000684,DNG,Dongling Harbor
7,射阳河口,434.5046149880955,SYH,Sheyang River Estuary
1,绣针河口,411.34066162719637,XZH,Xiuzhen River Estuary
15,梁剁河口,294.26177677734637,LDH,Liangduo River Estuary
3,临洪口,270.19899500165343,LHK,Linhong Estuary
19,洋口港,184.17387009156562,YKG,Yangkou Harbor
23,蒿枝港,134.37561952887137,HZG,Haozhi Harbor
4,埒子口,94.19424705143417,LZK,Lezi Estuary
2,朱蓬口区间,77.88995168562622,ZPK,Zhupeng Interval
6,新淮河口区间,25.446241963046937,XHH,Xinhuai Interval
25,协兴港,13.033157610821435,XXG,Xiexing Harbor
24,塘芦港,4.862963675398627,TLG,Tanglu Harbor
